timestamp;cpu;mem;disk;net_sent;net_recv
1765250703;17.3;28.7;6.1;157961110;160803666
1765250705;16;28.7;6.1;158079805;160855400
1765250706;16.5;28.8;6.1;158198568;160907651
1765250707;16.5;28.8;6.1;158317829;160958697
1765250708;16.7;28.8;6.1;158435591;161009173
1765250709;16.7;28.8;6.1;158538286;161059349
1765250710;16;29;6.1;158614416;161108910
1765250711;16.4;29;6.1;158733872;161160076
1765250712;16.1;29.1;6.1;158853369;161211314
1765250713;16.4;29.2;6.1;158971377;161261970
1765250714;16.2;29.3;6.1;159089502;161312901
1765250715;16.5;29.3;6.1;159207724;161363609
1765250716;16.5;29.3;6.1;159327543;161414493
1765250717;17.1;29.3;6.1;159445803;161465209
1765250718;16.9;29.3;6.1;159567217;161516135
1765250720;16.5;29.3;6.1;159687196;161567695
1765250721;16.4;29.4;6.1;159807168;161618735
1765250722;16.4;29.4;6.1;159938028;161670897
1765250723;16.9;29.5;6.1;160056558;161721433
1765250724;16;29.5;6.1;160176717;161773082
1765250725;16.6;29.5;6.1;160298451;161824780
1765250726;17;29.6;6.1;160417114;161875436
1765250727;17.4;29.6;6.1;160535892;161926092
1765250728;16.2;29.6;6.1;160640047;161976148
1765250729;16.8;29.6;6.1;160715601;162025955
1765250730;17;29.6;6.1;160834385;162076725
1765250731;17.2;29.6;6.1;160953278;162128383
1765250732;17.4;29.6;6.1;161120742;162226389
1765250733;16.4;29.6;6.1;161192713;162230102
1765250734;16.4;29.6;6.1;161311784;162280810
1765250736;16.7;29.6;6.1;161432380;162333666
1765250737;16;29.6;6.1;161551417;162384262
1765250738;16.6;29.6;6.1;161670569;162434978
1765250739;17;29.6;6.1;161791350;162486550
1765250740;17.1;29.6;6.1;161957697;162584313
1765250741;16.8;29.6;6.1;162025469;162587562
1765250742;17.4;29.6;6.1;162111987;162638294
1765250743;16.9;29.6;6.1;162231369;162689062
1765250744;17.1;29.6;6.1;162350744;162739778
1765250745;16.8;29.6;6.1;162471741;162790716
1765250746;16.1;29.6;6.1;162591251;162841372
1765250747;17.3;29.6;6.1;162710878;162892303
1765250748;15.6;29.6;6.1;162818168;162942352
1765250749;16.2;29.6;6.1;162937885;162993068
1765250751;16.3;29.6;6.1;163057647;163043999
1765250752;15.6;29.6;6.1;163177454;163094655
1765250753;17.6;29.6;6.1;163298838;163146103
1765250754;16.5;29.6;6.1;163420339;163197832
1765250755;16.7;29.6;6.1;163540281;163248548
1765250756;16.3;29.7;6.1;163660268;163299204
1765250757;16.4;29.7;6.1;163784557;163350760
1765250758;16.2;29.7;6.1;163907925;163401816
1765250759;16;29.7;6.1;164029880;163452989
1765250760;17.7;29.7;6.1;164126920;163548936
1765250761;16.4;29.7;6.1;164199790;163552525
1765250762;16.7;29.7;6.1;164321532;163603865
1765250763;16.4;29.7;6.1;164441787;163654581
1765250764;16.3;29.7;6.1;164562184;163705289
1765250766;16.5;29.7;6.1;164679384;163756447
1765250767;16;28.5;6.1;164799830;163807228
1765250768;15.4;28.6;6.1;164921839;163858565
1765250769;15.8;28.7;6.1;165042361;163909435
1765250770;16.2;28.7;6.1;165162928;163960090
1765250771;16.3;28.8;6.1;165330646;164057911
1765250772;16.6;28.8;6.1;165411436;164061896
1765250773;16;28.9;6.1;165532190;164114071
1765250774;18;28.9;6.1;165699937;164215456
1765250775;17.1;28.9;6.1;165775255;164219661
1765250776;16.2;28.9;6.1;165908482;164270869
1765250777;16.7;28.9;6.1;166029360;164323522
1765250778;16.8;28.9;6.1;166130396;164373919
1765250779;16;28.9;6.1;166200222;164423334
1765250781;16.5;28.9;6.1;166321274;164474330
1765250782;16;28.9;6.1;166443661;164525057
1765250783;16.4;28.9;6.1;166564832;164575772
1765250784;16.3;28.9;6.1;166686048;164626762
1765250785;16.4;28.9;6.1;166808893;164678231
1765250786;16.3;28.9;6.1;166930251;164729226
1765250787;18.7;28.9;6.1;167098812;164827426
1765250788;16.6;28.9;6.1;167173331;164831455
1765250789;16.4;28.9;6.1;167294772;164882230
1765250790;16;28.9;6.1;167416258;164933160
1765250791;16.6;28.9;6.1;167537787;164983935
1765250792;16.1;28.9;6.1;167660893;165036685
1765250793;16.4;28.9;6.1;167782511;165087399
1765250794;16.4;28.9;6.1;167905706;165138689
1765250795;16.2;28.9;6.1;168029018;165190826
1765250797;16;28.9;6.1;168152303;165242176
1765250798;16.1;28.9;6.1;168267108;165292410
1765250799;16.2;28.9;6.1;168336431;165342616
1765250800;16.9;28.9;6.1;168459804;165393834
1765250801;16.4;28.9;6.1;168581690;165444428
1765250802;16.8;28.9;6.1;168703673;165495409
1765250803;16.8;28.9;6.1;168816428;165546456
1765250804;17.2;28.9;6.1;168989203;165646440
1765250805;18.4;28.9;6.1;169111698;165697434
1765250806;17.3;28.9;6.1;169186821;165701103
1765250807;24.5;29.8;6.1;169360831;165801949
1765250808;19.4;29.8;6.1;169437504;165806332
